Time_Period,Budget/Revenue,Value,Optimisation Type,Channel,Scenario
05/03/2023,ST Revenue,30857.37868,Blended,Shopmium,Actual Budget - Not Optimised
05/03/2023,ST Revenue,492.9586315,Blended,Programmatic Video,Actual Budget - Not Optimised
05/03/2023,ST Revenue,212457.8233,Blended,BVOD,Actual Budget - Not Optimised
05/03/2023,ST Revenue,0,Blended,Social Pinterest,Actual Budget - Not Optimised
12/03/2023,ST Revenue,100219.7016,Blended,TV,Actual Budget - Not Optimised
12/03/2023,ST Revenue,87567.25213,Blended,Social Pinterest ,Actual Budget - Not Optimised
12/03/2023,ST Revenue,31028.73749,Blended,Shopmium,Actual Budget - Not Optimised
12/03/2023,ST Revenue,492.9654599,Blended,Programmatic Video,Actual Budget - Not Optimised
12/03/2023,ST Revenue,213132.1723,Blended,BVOD,Actual Budget - Not Optimised
12/03/2023,ST Revenue,0,Blended,Social Pinterest,Actual Budget - Not Optimised
19/03/2023,ST Revenue,100233.867,Blended,TV,Actual Budget - Not Optimised
19/03/2023,ST Revenue,113784.5134,Blended,Social Pinterest ,Actual Budget - Not Optimised
19/03/2023,ST Revenue,31080.45647,Blended,Shopmium,Actual Budget - Not Optimised
19/03/2023,ST Revenue,519.6601772,Blended,Programmatic Video,Actual Budget - Not Optimised
19/03/2023,ST Revenue,103795.3122,Blended,BVOD,Actual Budget - Not Optimised
19/03/2023,ST Revenue,0,Blended,Social Pinterest,Actual Budget - Not Optimised
26/03/2023,ST Revenue,100238.9363,Blended,TV,Actual Budget - Not Optimised
26/03/2023,ST Revenue,121644.9364,Blended,Social Pinterest ,Actual Budget - Not Optimised
26/03/2023,ST Revenue,31096.0704,Blended,Shopmium,Actual Budget - Not Optimised
26/03/2023,ST Revenue,522.3292496,Blended,Programmatic Video,Actual Budget - Not Optimised
26/03/2023,ST Revenue,43132.35912,Blended,BVOD,Actual Budget - Not Optimised
26/03/2023,ST Revenue,0,Blended,Social Pinterest,Actual Budget - Not Optimised
02/04/2023,ST Revenue,100240.7506,Blended,TV,Actual Budget - Not Optimised
02/04/2023,ST Revenue,124002.6354,Blended,Social Pinterest ,Actual Budget - Not Optimised
02/04/2023,ST Revenue,31100.78463,Blended,Shopmium,Actual Budget - Not Optimised
02/04/2023,ST Revenue,522.5961528,Blended,Programmatic Video,Actual Budget - Not Optimised
02/04/2023,ST Revenue,16784.46776,Blended,BVOD,Actual Budget - Not Optimised
02/04/2023,ST Revenue,38983.2464,Blended,Social Pinterest,Actual Budget - Not Optimised
09/04/2023,ST Revenue,40437.46729,Blended,TV,Actual Budget - Not Optimised
09/04/2023,ST Revenue,37258.02717,Blended,Social Pinterest ,Actual Budget - Not Optimised
09/04/2023,ST Revenue,31121.66187,Blended,Shopmium,Actual Budget - Not Optimised
09/04/2023,ST Revenue,52.38463801,Blended,Programmatic Video,Actual Budget - Not Optimised
09/04/2023,ST Revenue,6367.433222,Blended,BVOD,Actual Budget - Not Optimised
09/04/2023,ST Revenue,50656.69118,Blended,Social Pinterest,Actual Budget - Not Optimised
16/04/2023,ST Revenue,15124.81929,Blended,TV,Actual Budget - Not Optimised
16/04/2023,ST Revenue,11182.56631,Blended,Social Pinterest ,Actual Budget - Not Optimised
16/04/2023,ST Revenue,31147.41725,Blended,Shopmium,Actual Budget - Not Optimised
16/04/2023,ST Revenue,5.239716221,Blended,Programmatic Video,Actual Budget - Not Optimised
16/04/2023,ST Revenue,2392.430328,Blended,BVOD,Actual Budget - Not Optimised
16/04/2023,ST Revenue,54156.78954,Blended,Social Pinterest,Actual Budget - Not Optimised
23/04/2023,ST Revenue,5500.040113,Blended,TV,Actual Budget - Not Optimised
23/04/2023,ST Revenue,3355.234313,Blended,Social Pinterest ,Actual Budget - Not Optimised
23/04/2023,ST Revenue,31155.19324,Blended,Shopmium,Actual Budget - Not Optimised
23/04/2023,ST Revenue,0.523984148,Blended,Programmatic Video,Actual Budget - Not Optimised
23/04/2023,ST Revenue,895.6623258,Blended,BVOD,Actual Budget - Not Optimised
23/04/2023,ST Revenue,55206.64496,Blended,Social Pinterest,Actual Budget - Not Optimised
30/04/2023,ST Revenue,1979.715263,Blended,TV,Actual Budget - Not Optimised
30/04/2023,ST Revenue,1006.612097,Blended,Social Pinterest ,Actual Budget - Not Optimised
30/04/2023,ST Revenue,31157.54105,Blended,Shopmium,Actual Budget - Not Optimised
30/04/2023,ST Revenue,0.05239854,Blended,Programmatic Video,Actual Budget - Not Optimised
30/04/2023,ST Revenue,334.8588539,Blended,BVOD,Actual Budget - Not Optimised
30/04/2023,ST Revenue,55521.58592,Blended,Social Pinterest,Actual Budget - Not Optimised
07/05/2023,ST Revenue,709.9751037,Blended,TV,Actual Budget - Not Optimised
07/05/2023,ST Revenue,301.9873914,Blended,Social Pinterest ,Actual Budget - Not Optimised
07/05/2023,ST Revenue,31158.24993,Blended,Shopmium,Actual Budget - Not Optimised
07/05/2023,ST Revenue,0.005239855,Blended,Programmatic Video,Actual Budget - Not Optimised
07/05/2023,ST Revenue,125.129479,Blended,BVOD,Actual Budget - Not Optimised
07/05/2023,ST Revenue,55616.0668,Blended,Social Pinterest,Actual Budget - Not Optimised
14/05/2023,ST Revenue,254.2793732,Blended,TV,Actual Budget - Not Optimised
14/05/2023,ST Revenue,90.59655603,Blended,Social Pinterest ,Actual Budget - Not Optimised
14/05/2023,ST Revenue,31158.46396,Blended,Shopmium,Actual Budget - Not Optimised
14/05/2023,ST Revenue,0.000523986,Blended,Programmatic Video,Actual Budget - Not Optimised
14/05/2023,ST Revenue,46.74933304,Blended,BVOD,Actual Budget - Not Optimised
14/05/2023,ST Revenue,55644.41093,Blended,Social Pinterest,Actual Budget - Not Optimised
21/05/2023,ST Revenue,91.02782542,Blended,TV,Actual Budget - Not Optimised
21/05/2023,ST Revenue,27.17899729,Blended,Social Pinterest ,Actual Budget - Not Optimised
21/05/2023,ST Revenue,31158.52859,Blended,Shopmium,Actual Budget - Not Optimised
21/05/2023,ST Revenue,5.24E-05,Blended,Programmatic Video,Actual Budget - Not Optimised
21/05/2023,ST Revenue,17.46467635,Blended,BVOD,Actual Budget - Not Optimised
21/05/2023,ST Revenue,55652.91416,Blended,Social Pinterest,Actual Budget - Not Optimised
28/05/2023,ST Revenue,32.58095635,Blended,TV,Actual Budget - Not Optimised
28/05/2023,ST Revenue,8.153701928,Blended,Social Pinterest ,Actual Budget - Not Optimised
28/05/2023,ST Revenue,31158.5481,Blended,Shopmium,Actual Budget - Not Optimised
28/05/2023,ST Revenue,5.24E-06,Blended,Programmatic Video,Actual Budget - Not Optimised
28/05/2023,ST Revenue,6.524304327,Blended,BVOD,Actual Budget - Not Optimised
28/05/2023,ST Revenue,55655.46513,Blended,Social Pinterest,Actual Budget - Not Optimised
04/06/2023,ST Revenue,11.6607699,Blended,TV,Actual Budget - Not Optimised
04/06/2023,ST Revenue,2.446110825,Blended,Social Pinterest ,Actual Budget - Not Optimised
04/06/2023,ST Revenue,31158.55399,Blended,Shopmium,Actual Budget - Not Optimised
04/06/2023,ST Revenue,5.24E-07,Blended,Programmatic Video,Actual Budget - Not Optimised
04/06/2023,ST Revenue,112592.8855,Blended,BVOD,Actual Budget - Not Optimised
04/06/2023,ST Revenue,55656.23042,Blended,Social Pinterest,Actual Budget - Not Optimised
11/06/2023,ST Revenue,4.173315553,Blended,TV,Actual Budget - Not Optimised
11/06/2023,ST Revenue,0.733833271,Blended,Social Pinterest ,Actual Budget - Not Optimised
11/06/2023,ST Revenue,31158.55577,Blended,Shopmium,Actual Budget - Not Optimised
11/06/2023,ST Revenue,5.24E-08,Blended,Programmatic Video,Actual Budget - Not Optimised
11/06/2023,ST Revenue,144568.1334,Blended,BVOD,Actual Budget - Not Optimised
11/06/2023,ST Revenue,55656.46001,Blended,Social Pinterest,Actual Budget - Not Optimised
18/06/2023,ST Revenue,1.493591585,Blended,TV,Actual Budget - Not Optimised
18/06/2023,ST Revenue,0.220149985,Blended,Social Pinterest ,Actual Budget - Not Optimised
18/06/2023,ST Revenue,31158.55631,Blended,Shopmium,Actual Budget - Not Optimised
18/06/2023,ST Revenue,1594.216424,Blended,Programmatic Video,Actual Budget - Not Optimised
18/06/2023,ST Revenue,155364.2655,Blended,BVOD,Actual Budget - Not Optimised
18/06/2023,ST Revenue,55656.52888,Blended,Social Pinterest,Actual Budget - Not Optimised
25/06/2023,ST Revenue,0.534541328,Blended,TV,Actual Budget - Not Optimised
25/06/2023,ST Revenue,0.066044995,Blended,Social Pinterest ,Actual Budget - Not Optimised
25/06/2023,ST Revenue,31158.55647,Blended,Shopmium,Actual Budget - Not Optimised
25/06/2023,ST Revenue,1752.21391,Blended,Programmatic Video,Actual Budget - Not Optimised
25/06/2023,ST Revenue,159248.5279,Blended,BVOD,Actual Budget - Not Optimised
25/06/2023,ST Revenue,55656.54955,Blended,Social Pinterest,Actual Budget - Not Optimised
02/07/2023,ST Revenue,0.191306747,Blended,TV,Actual Budget - Not Optimised
02/07/2023,ST Revenue,0.0198135,Blended,Social Pinterest ,Actual Budget - Not Optimised
02/07/2023,ST Revenue,9750.896681,Blended,Shopmium,Actual Budget - Not Optimised
02/07/2023,ST Revenue,1767.999502,Blended,Programmatic Video,Actual Budget - Not Optimised
02/07/2023,ST Revenue,160679.3554,Blended,BVOD,Actual Budget - Not Optimised
02/07/2023,ST Revenue,55656.55574,Blended,Social Pinterest,Actual Budget - Not Optimised
09/07/2023,ST Revenue,0.068466659,Blended,TV,Actual Budget - Not Optimised
09/07/2023,ST Revenue,0.00594405,Blended,Social Pinterest ,Actual Budget - Not Optimised
