Time_Period,Bvod,CTV,Display,Facebook,Instagram,NBC WG BVOD,NBC WG Social,NBC WG TV,NBC WG VOD,NBC WG display,NBC digital,NBC ppc,NBC social,NBD WG YT,PPC,Sponsorship,TV,Vod,YT
2021-08-07,6.451537209842359,0.0,4.521691482298571,47.883757794782355,236.29577154422304,3.2693818248415717e-12,9.440541992983498e-10,1.7581524401993644e-11,0.0,0.0,0.0,5579.284323165195,-0.0006615404507070623,2.6906110511840305e-12,1696.9665610567195,61028.09435841239,23.81712150485647,19.308510524479097,238.25080380204724
2021-08-14,2.1169262144519814,0.0,1.3132569297813002,32.56102804532549,160.4727893535886,8.174136954585118e-13,2.800717973680034e-10,4.612096861214027e-12,0.0,0.0,9295.732897587066,5319.852038478881,-0.0005096045558852887,6.663910422275425e-13,1955.2226886978087,65311.28851604216,9.372786755097255,6.3170934491882464,116.85673099741636
2021-08-21,0.8201869513794786,0.0,0.4020093364687097,19.76061673484215,97.36689152440036,2.5096443125995753e-13,9.06258763347233e-11,1.3953220795836567e-12,0.0,0.0,16591.997008325783,4777.461661190831,-0.0003205707579394087,2.1052873376053684e-13,2107.364289783889,65700.37439638788,3.572046173609832,2.4627918811470484,66.04944502600466
2021-08-28,0.36560033184428053,0.0,0.12677846000257564,11.303805642542818,55.69211503591169,6.721852219346938e-14,2.2251527057561977e-11,4.0687296099758213e-13,0.0,0.0,21464.1960156336,5227.129751817868,-0.0001785274418376573,5.885903731509114e-14,2242.180174956324,71038.50637271853,1.4281816154131404,1.1104386648453346,40.83489226766282
2021-09-04,0.13737090446450262,0.0,0.0372974361381681,4.799772538895257,23.700114354077783,5.5107725606539907e-14,2.9498946277233863e-12,3.464841824188657e-13,0.0,0.0,23887.750368983554,5010.063291821631,-0.00011471661555925764,5.297167220464799e-14,2237.169429296125,73046.3252893209,0.558607430288381,0.4174111651768427,21.84930745206469
2021-09-11,0.047458317455968506,0.0,0.010095597756623092,2.010243730039118,9.947217869706158,8.492429043021796e-15,6.029624620545476e-13,6.793943234417437e-14,0.0,0.0,23204.753529338217,4707.491565016237,-5.5298050638170094e-05,8.492429043021796e-15,2108.880144356465,69041.59480143206,0.19669723107531006,0.14378819008324084,10.6825226036128
2021-09-18,0.01591792350520835,0.0,0.0030154372044991066,1.192329780566035,5.899252982636298,0.0,3.126508503807479e-13,3.234319141869806e-14,0.0,0.0,23563.71922739407,3842.9874363877743,-2.9481792851999523e-05,0.0,2155.327292247912,69028.70145823287,0.08205008318759141,0.04777795883646239,5.329733554421298
2021-09-25,0.007098475180568395,0.0,0.0009982567022227627,0.7476032192791735,3.698739996295822,9.535310399720076e-16,1.743753898848401e-13,1.7499316331300746e-14,0.0,0.0,22091.706654855618,3291.971132536021,-1.67777014440053e-05,9.535310399720076e-16,1894.2378704953605,69085.95913713018,0.0335048192415751,0.020848509823738638,3.2481982601924004
2021-10-02,0.003791946359461013,0.0,0.00036698420922531795,0.9695646069693119,4.78671538591666,0.0,8.396658356930102e-14,0.0,0.0,0.0,20656.079814391564,3424.9280980036233,-1.1753783738910067e-05,0.0,1689.9623591709437,54716.16899139429,0.013931629379808583,0.01116945871754892,2.200968234851451
2021-10-09,0.0016640876010805634,0.0,0.00011435930079384496,0.7063304028550267,3.4853145476882412,0.0,3.2932541510224506e-14,4.764159732366042e-16,0.0,0.0,22815.200444047496,4499.731112831315,-6.840804411678412e-06,0.0,2225.3760313188827,38746.89751914974,0.00563126992973083,0.004940992488630798,1.2673476052851522
