index,Budget,Channel,Predicted Revenue,Region,Brand,Channel Group
122,1230000,Facebook,5503.182871943876,Mexico,Nesquik,Social
123,1240000,Facebook,5503.182871943876,Mexico,Nesquik,Social
124,1250000,Facebook,5503.182871943876,Mexico,Nesquik,Social
125,1260000,Facebook,5503.182871943876,Mexico,Nesquik,Social
126,1270000,Facebook,5503.182871943876,Mexico,Nesquik,Social
127,1280000,Facebook,5503.182871943876,Mexico,Nesquik,Social
128,1290000,Facebook,5503.182871943876,Mexico,Nesquik,Social
129,1300000,Facebook,5503.182871943876,Mexico,Nesquik,Social
130,1310000,Facebook,5503.182871943876,Mexico,Nesquik,Social
131,1320000,Facebook,5503.182871943876,Mexico,Nesquik,Social
132,1330000,Facebook,5503.182871943876,Mexico,Nesquik,Social
133,1340000,Facebook,5503.182871943876,Mexico,Nesquik,Social
134,1350000,Facebook,5503.182871943876,Mexico,Nesquik,Social
135,1360000,Facebook,5503.182871943876,Mexico,Nesquik,Social
136,1370000,Facebook,5503.182871943876,Mexico,Nesquik,Social
137,1380000,Facebook,5503.182871943876,Mexico,Nesquik,Social
138,1390000,Facebook,5503.182871943876,Mexico,Nesquik,Social
139,1400000,Facebook,5503.182871943876,Mexico,Nesquik,Social
140,1410000,Facebook,5503.182871943876,Mexico,Nesquik,Social
141,1420000,Facebook,5503.182871943876,Mexico,Nesquik,Social
142,1430000,Facebook,5503.182871943876,Mexico,Nesquik,Social
143,1440000,Facebook,5503.182871943876,Mexico,Nesquik,Social
144,1450000,Facebook,5503.182871943876,Mexico,Nesquik,Social
145,1460000,Facebook,5503.182871943876,Mexico,Nesquik,Social
146,1470000,Facebook,5503.182871943876,Mexico,Nesquik,Social
147,1480000,Facebook,5503.182871943876,Mexico,Nesquik,Social
148,1490000,Facebook,5503.182871943876,Mexico,Nesquik,Social
149,1500000,Facebook,5503.182871943876,Mexico,Nesquik,Social
150,10000,OOH,3318.5690022823464,Mexico,Nesquik,OOH
151,20000,OOH,6601.642785831593,Mexico,Nesquik,OOH
152,30000,OOH,9849.601005418206,Mexico,Nesquik,OOH
153,40000,OOH,13062.819255047623,Mexico,Nesquik,OOH
154,50000,OOH,16241.66911139384,Mexico,Nesquik,OOH
155,60000,OOH,19386.518176768688,Mexico,Nesquik,OOH
156,70000,OOH,22497.73012163127,Mexico,Nesquik,OOH
157,80000,OOH,25575.664726642837,Mexico,Nesquik,OOH
158,90000,OOH,28620.677924271873,Mexico,Nesquik,OOH
159,100000,OOH,31633.121839954198,Mexico,Nesquik,OOH
160,110000,OOH,34613.34483281262,Mexico,Nesquik,OOH
161,120000,OOH,37561.69153594126,Mexico,Nesquik,OOH
162,130000,OOH,40478.50289625904,Mexico,Nesquik,OOH
163,140000,OOH,43364.116213936584,Mexico,Nesquik,OOH
164,150000,OOH,46218.86518140181,Mexico,Nesquik,OOH
165,160000,OOH,49043.079921928096,Mexico,Nesquik,OOH
166,170000,OOH,51837.08702780967,Mexico,Nesquik,OOH
167,180000,OOH,54601.209598128786,Mexico,Nesquik,OOH
168,190000,OOH,57335.76727611896,Mexico,Nesquik,OOH
169,200000,OOH,60041.07628612852,Mexico,Nesquik,OOH
170,210000,OOH,62717.449470188745,Mexico,Nesquik,OOH
171,220000,OOH,65365.19632419094,Mexico,Nesquik,OOH
172,230000,OOH,67984.62303367662,Mexico,Nesquik,OOH
173,240000,OOH,70576.0325092447,Mexico,Nesquik,OOH
174,250000,OOH,73139.72442158025,Mexico,Nesquik,OOH
175,260000,OOH,75675.9952361083,Mexico,Nesquik,OOH
