index,Budget,Channel,Predicted Revenue,Region,Brand,Channel Group
199,2000000,Facebook,66635.24002539106,Mexico,Nesquik,Social
200,2010000,Facebook,66646.96661517986,Mexico,Nesquik,Social
201,2020000,Facebook,66658.40717454447,Mexico,Nesquik,Social
202,2030000,Facebook,66669.56868022794,Mexico,Nesquik,Social
203,2040000,Facebook,66680.45793879926,Mexico,Nesquik,Social
204,2050000,Facebook,66691.0815908043,Mexico,Nesquik,Social
205,2060000,Facebook,66701.44611481526,Mexico,Nesquik,Social
206,2070000,Facebook,66711.55783138153,Mexico,Nesquik,Social
207,2080000,Facebook,66721.42290688415,Mexico,Nesquik,Social
208,2090000,Facebook,66731.04735729615,Mexico,Nesquik,Social
209,2100000,Facebook,66740.4370518513,Mexico,Nesquik,Social
210,2110000,Facebook,66749.59771662328,Mexico,Nesquik,Social
211,2120000,Facebook,66758.53493801763,Mexico,Nesquik,Social
212,2130000,Facebook,66767.25416617845,Mexico,Nesquik,Social
213,2140000,Facebook,66775.76071831203,Mexico,Nesquik,Social
214,2150000,Facebook,66784.05978192942,Mexico,Nesquik,Social
215,2160000,Facebook,66792.15641800994,Mexico,Nesquik,Social
216,2170000,Facebook,66800.05556408748,Mexico,Nesquik,Social
217,2180000,Facebook,66807.76203726148,Mexico,Nesquik,Social
218,2190000,Facebook,66815.28053713456,Mexico,Nesquik,Social
219,2200000,Facebook,66822.61564867852,Mexico,Nesquik,Social
220,2210000,Facebook,66829.77184503023,Mexico,Nesquik,Social
221,2220000,Facebook,66836.7534902196,Mexico,Nesquik,Social
222,2230000,Facebook,66843.56484183078,Mexico,Nesquik,Social
223,2240000,Facebook,66850.21005359862,Mexico,Nesquik,Social
224,2250000,Facebook,66856.69317794163,Mexico,Nesquik,Social
225,2260000,Facebook,66863.01816843335,Mexico,Nesquik,Social
226,2270000,Facebook,66869.18888221328,Mexico,Nesquik,Social
227,2280000,Facebook,66875.20908233903,Mexico,Nesquik,Social
228,2290000,Facebook,66881.08244008124,Mexico,Nesquik,Social
229,2300000,Facebook,66886.81253716227,Mexico,Nesquik,Social
230,2310000,Facebook,66892.40286794055,Mexico,Nesquik,Social
231,2320000,Facebook,66897.85684154145,Mexico,Nesquik,Social
232,2330000,Facebook,66903.17778393629,Mexico,Nesquik,Social
233,2340000,Facebook,66908.3689399706,Mexico,Nesquik,Social
234,2350000,Facebook,66913.43347534287,Mexico,Nesquik,Social
235,2360000,Facebook,66918.37447853513,Mexico,Nesquik,Social
236,2370000,Facebook,66923.19496269632,Mexico,Nesquik,Social
237,2380000,Facebook,66927.89786747986,Mexico,Nesquik,Social
238,2390000,Facebook,66932.48606083625,Mexico,Nesquik,Social
239,2400000,Facebook,66936.9623407621,Mexico,Nesquik,Social
240,2410000,Facebook,66941.32943700634,Mexico,Nesquik,Social
241,2420000,Facebook,66945.59001273492,Mexico,Nesquik,Social
242,2430000,Facebook,66949.74666615488,Mexico,Nesquik,Social
243,2440000,Facebook,66953.80193209884,Mexico,Nesquik,Social
