level_0,index,Channel,ST Carryover,ST Alpha,CPU,Max_Spend_Cap,Current_Budget,Min_Spend_Cap,Region,Brand,Channel Group,ST Current_ROI,LT Carryover,LT Alpha,LT Current ROI,Opt_Channel
3,3,MYTF1,0.04657046182999306,0.0001920377254391016,1,312006.1171546323,208004.0781030882,0,France,Chocapic,OLV,0.23259399972454373,0.2654008742006777,4.3539577790892616e-05,0.5607903361027594,MYTF1_France_Chocapic
4,4,OLV,0.039644736579825444,0.00021366805526741738,1,7851.5008963539985,5234.333930902666,0,France,Chocapic,OLV,0.302192689850073,0.14268585364977895,0.0004969590733812731,1.5748988927836862,OLV_France_Chocapic
5,5,Print,0.1841843062548224,3.7622975205620955e-05,1,355177.499998822,236784.99999921466,0,France,Chocapic,Print,0.42849958157511897,0.5719751207699284,6.389337588062723e-05,0.16928032857198816,Print_France_Chocapic
6,6,Programmatic,0.07399523487224338,1.1173907048210616e-05,1,365910.5261883535,243940.35079223567,0,France,Chocapic,OLV,0.37642726479647187,0.139306733824263,4.944825250941512e-06,0.6397900569803229,Programmatic_France_Chocapic
7,7,TV,0.35556579667887434,4.396868178325077e-06,1,7168719.195058085,4779146.130038723,0,France,Chocapic,TV,0.30654797176555465,0.9319644895928889,2.2169798019607408e-06,0.6156798791204519,TV_France_Chocapic
8,8,Teads,0.0689074442601477,4.500317406839108e-05,1,150780.0487778705,100520.03251858034,0,France,Chocapic,OLV,0.17098559063810906,0.6013327793433992,2.469858782634023e-05,0.38494838597340836,Teads_France_Chocapic
9,9,YouTube,0.059503366814904944,9.719415018425296e-05,1,131897.013871633,87931.34258108867,0,France,Chocapic,OLV,0.5430764939441515,0.7532342040342893,4.298948374203592e-05,1.033847264867837,YouTube_France_Chocapic
0,0,Buzzfeed,0.01,1.0465997253187317e-05,1,33428.65292223536,22285.768614823573,0,Mexico,Abuelita,Content,0.02933208214105912,0.6,1.7336855150803486e-07,0.007963088698545777,Buzzfeed_Mexico_Abuelita
1,1,Dynadmic,0.01,1.0465997253187317e-05,1,8367.220629430338,5578.147086286892,0,Mexico,Abuelita,Programmatic Video,0.027923161552085792,0.6,1.7336855150803486e-07,0.006770808123624105,Dynadmic_Mexico_Abuelita
2,2,Facebook,0.01,0.0005530650366313542,1,1297067.9883310094,864711.9922206729,0,Mexico,Abuelita,Social,0.005543804710666272,0.6,1.7336855150803486e-07,0.005867702184869574,Facebook_Mexico_Abuelita
3,3,Multibrand Facebook,0.01,0.0007889294271292898,1,14199.985797458305,9466.657198305536,0,Mexico,Abuelita,Multibrand Social,9.038401231278357,0.0,0.0,0.0,Multibrand Facebook_Mexico_Abuelita
4,4,Open TV,0.4,2.745990308398032e-05,1,1992221.3113894137,1328147.5409262758,0,Mexico,Abuelita,TV,0.14837012176685205,0.75,1.7107092209180406e-05,0.0380563742046894,Open TV_Mexico_Abuelita
5,5,Pay TV,0.4,2.7459903083980323e-06,1,675137.3700637894,450091.58004252624,0,Mexico,Abuelita,TV,0.07193532864905768,0.75,1.7107092209180408e-06,0.019339712702166608,Pay TV_Mexico_Abuelita
6,6,Sopitas,0.01,1.0465997253187317e-05,1,5964.000028127243,3976.0000187514956,0,Mexico,Abuelita,Content,0.043184180913635836,0.6,1.7336855150803486e-07,0.007312531812607622,Sopitas_Mexico_Abuelita
7,7,Teads,0.01,1.0465997253187317e-05,1,55307.349560922165,36871.56637394811,0,Mexico,Abuelita,Programmatic Display,0.10586784792851751,0.6,1.7336855150803486e-07,0.0075594855134866,Teads_Mexico_Abuelita
8,8,Televisa Contenido,0.01,0.00010465997253187318,1,24601.50017460837,16401.00011640558,0,Mexico,Abuelita,Content,0.15543013236847628,0.6,1.7336855150803486e-07,0.005693846282543951,Televisa Contenido_Mexico_Abuelita
9,9,Tubi,0.01,1.0465997253187317e-05,1,26020.523475903203,17347.015650602134,0,Mexico,Abuelita,Programmatic Video,0.03218883266021733,0.6,1.7336855150803486e-07,0.0074505612381882,Tubi_Mexico_Abuelita
10,10,Vix,0.01,1.0465997253187317e-05,1,26018.2876194891,17345.5250796594,0,Mexico,Abuelita,Programmatic Video,0.03180538835723126,0.6,1.7336855150803486e-07,0.007450619365094472,Vix_Mexico_Abuelita
11,11,YouTube,0.01,3.0014453344682094e-06,1,686391.5888576994,457594.3925717996,0,Mexico,Abuelita,OLV,0.005863392374957372,0.6,1.7336855150803486e-07,0.006059438217166402,YouTube_Mexico_Abuelita
0,0,Arkeero,0.0,0.0,1,8519.999854262494,5679.999902841663,0,Mexico,Nesquik,Programmatic Display,0.9751744221228642,0.0,0.0,0.0,Arkeero_Mexico_Nesquik
