Scenario,Budget,LT Revenue,ST Revenue,Total Revenue,Predicted Revenue,Region,Brand
region: Germany brand: Nesquik budget: 200000,200000.00000000006,211734.90782781175,299805.90242779243,511540.8102556042,1038195.6317935241,Germany,Nesquik
region: Germany brand: Nesquik budget: 2000000,2000000.000000006,891653.5365149812,1347746.796095191,2239400.332610172,1697235.9752913385,Germany,Nesquik
region: Germany brand: Nesquik budget: 300000,300000.00000000023,297194.9276480563,397489.69400036853,694684.6216484248,1286586.946237035,Germany,Nesquik
region: Germany brand: Nesquik budget: 400000,400000.0000000016,368815.41451375117,486615.1085753994,855430.5230891505,1441378.756930463,Germany,Nesquik
region: Germany brand: Nesquik budget: 500000,499999.9999999996,435391.54689390457,564290.734095507,999682.2809894115,1537841.4883727015,Germany,Nesquik
region: Germany brand: Nesquik budget: 600000,599999.999999998,494902.22980353097,637456.3446105331,1132358.5744140642,1597954.865919056,Germany,Nesquik
region: Germany brand: Nesquik budget: 700000,699999.9999999993,547888.0458482278,706973.357598294,1254861.4034465218,1635416.1538797277,Germany,Nesquik
region: Germany brand: Nesquik budget: 800000,800000.0000000002,595227.3927214731,773133.0782526061,1368360.4709740793,1658761.1754531728,Germany,Nesquik
region: Germany brand: Nesquik budget: 900000,900000.0,637659.6010737905,836193.0733930514,1473852.6744668419,1673309.2612754428,Germany,Nesquik
region: UK brand: Shreddies budget: 100000,100000.00000025875,117585.8504691998,483555.6207103078,601141.4711795076,409442.16553884925,UK,Shreddies
region: UK brand: Shreddies budget: 1000000,1000000.0,1555638.6242049192,2144464.6872099247,3700103.311414844,3586200.3859037734,UK,Shreddies
region: UK brand: Shreddies budget: 10000000,10000000.0,5947274.889908232,7132015.065475447,13079289.955383679,13058699.68291826,UK,Shreddies
region: UK brand: Shreddies budget: 10100000,10100000.0,5954216.71893842,7142418.716650953,13096635.435589373,13078497.77704268,UK,Shreddies
region: UK brand: Shreddies budget: 10200000,10200000.000000002,5960977.98509057,7152349.394200725,13113327.379291294,13097705.13777188,UK,Shreddies
region: UK brand: Shreddies budget: 10300000,10300000.0,5967564.71502547,7161837.838199725,13129402.553225195,13116339.391345134,UK,Shreddies
region: UK brand: Shreddies budget: 10400000,10399999.999999942,5973982.707681082,7170912.432429415,13144895.140110496,13134417.638071883,UK,Shreddies
region: UK brand: Shreddies budget: 10500000,10499999.999999952,5980237.543515364,7179599.400668003,13159836.944183366,13151956.468024412,UK,Shreddies
region: UK brand: Shreddies budget: 10600000,10600000.000000766,5986334.593356211,7187922.985857264,13174257.579213474,13168971.976262318,UK,Shreddies
region: UK brand: Shreddies budget: 10700000,10699999.999999998,5992279.026876279,7195905.613684421,13188184.640560701,13185479.777602037,UK,Shreddies
region: UK brand: Shreddies budget: 10800000,10800000.0,5998075.820709903,7203568.0419765115,13201643.862686414,13201495.020947574,UK,Shreddies
region: UK brand: Shreddies budget: 10900000,10899999.99999999,6003729.766225259,7210929.497172327,13214659.263397586,13217032.403191058,UK,Shreddies
region: UK brand: Shreddies budget: 1100000,1100000.0,1712441.099239295,2274373.8010047413,3986814.9002440367,3888637.891467997,UK,Shreddies
region: UK brand: Shreddies budget: 11000000,10999999.999999784,6009245.4769694265,7218007.799028634,13227253.27599806,13232106.182700437,UK,Shreddies
